sku,categories,product_websites
24-MB01,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags","luma_gbp,luma_euro"
24-MB04,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags,Luma Europe Catalog/Collections","luma_gbp,luma_euro"
24-MB03,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags","luma_gbp,luma_euro"
24-MB05,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
24-MB06,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
24-MB02,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags","luma_gbp,luma_euro"
24-UB02,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags","luma_gbp,luma_euro"
24-WB01,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags","luma_gbp,luma_euro"
24-WB02,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags","luma_gbp,luma_euro"
24-WB05,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags,Luma Europe Catalog/Collections","luma_gbp,luma_euro"
24-WB06,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags,Luma Europe Catalog/Collections","luma_gbp,luma_euro"
24-WB03,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags","luma_gbp,luma_euro"
24-WB07,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
24-WB04,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Bags,Luma Europe Catalog/Collections","luma_gbp,luma_euro"
24-UG06,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-UG07,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment,Luma Europe Catalog/Collections","luma_gbp,luma_euro"
24-UG04,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-UG02,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-UG05,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
24-UG01,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG084,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG088,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-UG03,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG081-gray,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG081-pink,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG081-blue,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG082-gray,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG082-pink,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG082-blue,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG083-gray,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG083-pink,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG083-blue,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG085,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG086,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG087,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-MG04,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches","luma_gbp,luma_euro"
24-MG01,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches","luma_gbp,luma_euro"
24-MG03,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
24-MG05,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
24-MG02,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
24-WG09,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches","luma_gbp,luma_euro"
24-WG01,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches","luma_gbp,luma_euro"
24-WG03,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches","luma_gbp,luma_euro"
24-WG02,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Watches,Luma Europe Catalog/Collections,Luma Europe Catalog/Collections/New Luma Yoga Collection","luma_gbp,luma_euro"
240-LV04,"Luma Europe Catalog/Training,Luma Europe Catalog/Training/Video Download","luma_gbp,luma_euro"
240-LV05,"Luma Europe Catalog/Training,Luma Europe Catalog/Training/Video Download","luma_gbp,luma_euro"
240-LV06,"Luma Europe Catalog/Training,Luma Europe Catalog/Training/Video Download","luma_gbp,luma_euro"
240-LV07,"Luma Europe Catalog/Training,Luma Europe Catalog/Training/Video Download","luma_gbp,luma_euro"
240-LV08,"Luma Europe Catalog/Training,Luma Europe Catalog/Training/Video Download","luma_gbp,luma_euro"
240-LV09,"Luma Europe Catalog/Training,Luma Europe Catalog/Training/Video Download","luma_gbp,luma_euro"
24-WG085_Group,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
24-WG080,"Luma Europe Catalog/Accessories,Luma Europe Catalog/Accessories/Fitness Equipment","luma_gbp,luma_euro"
MH01-XS-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-XS-Gray,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-XS-Orange,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-S-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-S-Gray,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-S-Orange,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-M-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-M-Gray,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-M-Orange,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
MH01-L-Black,"Luma Europe Catalog/Men/Tops/Hoodies & Sweatshirts,Luma Europe Catalog/Collections/Eco Friendly","luma_gbp,luma_euro"
